Scope,Description,Group ,Role ,
BI,Bibi zone (L0) ,BI-AZ-Reader ,Reader ,
BI-FZ,Foudation Zone(L1) ,BI-AZ-FZ-Reader ,Reader ,
BI-WZ,Working Zone (L1) ,BI-AZ-WZ-Reader ,Reader ,
BI-DZ,Decommision Zone (L1) ,BI-AZ-DZ-Reader ,Reader ,
BI-SZ,Sandbox (L1) ,BI-AZ-SbZ-Reader ,Reader ,
BI-FZ-IZ,Identity Zone (L2) ,BI-AZ-IDZ-RbacAdmin ,Role Based Access Control Administrator ,
BI-FZ-IZ,Identity Zone (L2) ,BI-AZ-IDZ-Contributor ,Contributor ,
BI-FZ-IZ,Identity Zone (L2) ,BI-AZ-IDZ-IdOps ,IdOps ,
BI-FZ-IZ,Identity Zone (L2) ,BI-AZ-IDZ-Reader ,Reader ,
BI-FZ-CZ,Connectivity Zone (L2) ,BI-AZ-CZ-RbacAdmin ,Role Based Access Control Administrator ,
BI-FZ-CZ,Connectivity Zone (L2) ,BI-AZ-CZ- Contributor ,Contributor ,
BI-FZ-CZ,Connectivity Zone (L2) ,BI-AZ-CZ-NetOps ,NetOps ,
BI-FZ-CZ,Connectivity Zone (L2) ,BI-AZ-CZ-Reader ,Reader ,
BI-FZ-SZ,Security Zone (L2) ,BI-AZ-SZ-RbacAdmin ,Role Based Access Control Administrator ,
BI-FZ-SZ,Security Zone (L2) ,BI-AZ-SZ- Contributor ,Contributor ,
BI-FZ-SZ,Security Zone (L2) ,BI-AZ-SZ-SecOps ,NetOps ,
BI-FZ-SZ,Security Zone (L2) ,BI-AZ-SZ-Reader ,Reader ,
BI-FZ-MZ,Management Zone (L2) ,BI-AZ-MZ-RbacAdmin ,Role Based Access Control Administrator ,
BI-FZ-MZ,Management Zone (L2) ,BI-AZ-MZ- Contributor ,Contributor ,
BI-FZ-MZ,Management Zone (L2) ,BI-AZ-MZ-MgtOps ,NetOps ,
BI-FZ-MZ,Management Zone (L2) ,BI-AZ-MZ-Reader ,Reader ,
BI-WZ-ITZ,IT Zone (L2) ,BI-ITZ-Reader ,Reader ,
BI-WZ-INZ,Internal Zone (L2) ,BI-AZ-InZ-RbacAdmin ,Role Based Access Control Administrator ,
BI-WZ-INZ,Internal Zone (L2) ,BI-AZ-InZ- Contributor ,Contributor ,
BI-WZ-INZ,Internal Zone (L2) ,BI-AZ-InZ-Reader ,Reader ,
BI-WZ-EXZ,External Zone (L2) ,BI-AZ-ExZ-RbacAdmin ,Role Based Access Control Administrator ,
BI-WZ-EXZ,External Zone (L2) ,BI-AZ-ExZ-Contributor ,Contributor ,
BI-WZ-EXZ,External Zone (L2) ,BI-AZ-ExZ-Reader ,Reader ,
